행정동코드,생활인구_avg
11620765,21001.43339
11620775,18244.56533
11650510,30965.28062
11650520,46180.92553
11650530,66895.93867
11650531,43511.12093
11650540,33841.57304
11650550,2792.146134
11650560,33281.47406
11650570,18022.66626
11650580,23417.47182
11650581,43931.9078
11650590,18662.99757
11650600,21591.02786
11650610,20766.00969
11650620,17299.29985
11650621,27796.31989
11650651,54514.57122
11650652,39558.63503
11650660,25105.03411
11680510,38103.16182
11680521,44160.83305
11680531,45155.08498
11680545,43382.26807
11680565,44046.54078
11680580,41186.76838
11680590,40432.12636
11680600,28201.47309
11680610,50415.12799
11680630,39131.2543
11680640,106827.2986
11680650,53509.8387
11680655,35483.83074
11680656,29490.11267
11680660,9031.146971
11680670,25812.03973
11680690,16250.38442
11680700,45416.08287
11680720,25219.58134
11680730,16106.23023
11680740,16587.43632
11680750,24184.87269
11710510,15737.21776
11710520,38016.30651
11710531,12498.61603
11710532,19177.88392
11710540,12175.32991
11710550,15008.98486
11710561,17820.7209
11710562,37533.49984
11710566,19447.25314
11710570,36898.28136
11710580,30927.92486
11710590,19123.49281
11710600,29622.49227
11710610,31023.74253
11710620,39329.18185
11710631,26973.18964
11710632,25812.87316
11710641,20679.68893
11710642,39727.05306
11710646,34791.36812
11710647,43491.502
11710650,34157.44239
11710670,34071.79653
11710680,47166.35151
11710690,19457.15101
11710710,40485.25226
11710720,10656.21857
11740515,50934.33024
11740520,37400.57926
11740530,26920.247
11740540,16265.55567
11740550,24328.88038
11740560,21364.91551
11740570,27668.1522
11740580,14663.18635
11740590,13123.05437
11740600,31265.31656
11740610,44881.5528
11740620,28073.48939
11740640,24014.64138
11740650,25049.83604
11740660,26488.33205
11740685,55652.21447
11740690,4646.240265
11740700,26869.71821
